sentence,label
the picture resolution is far below what other comparably-priced phones are offering today.,0
i had a seriously solid breakfast here.,1
"lifetime does not air it enough, so if anyone knows what store sells it let me know because this is a must-have.",1
"i've had better, not only from dedicated boba tea spots, but even from jenni pho.",0
it was packed!!,0
"he really didn't seem to want to be hosting; his voice-overs were monotonous, didn't get involved with the guests.",0
"looks good in the picture, but this case was a huge disappointment!!",0
if you haven't gone here go now!,1
"the cable looks so thin and flimsy, it is scary.",0
this one works and was priced right.,1
returned 8 hours later.,0
great case and price!,1
good transmit audio.,1
the sound is clear and the people i talk to on it are amazed at the quality too.,1
the attempts at humor were pitiful and story is so awful it dosen't bear thinking about which basically involves a vulcan stealing the enterprise to find god (seriously) i just didn't care about any of this film and oh not to mention uhura does a belly dance to distract male guards.,0
the food wasn't good.,0
not a pleasant voyage of self-discovery.,0
"i started this review with two stars, but i'm editing it to give it only one.",0
all the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.,0
does not work for listening to music with the cingular 8125.,0
no plot whatsoever!,0
those phones are working just fine now.,1
cheap but hey it works.. was pleasantly suprised given the low cost of this item.,1
the kids are annoying.,0
"my breakfast was perpared great, with a beautiful presentation of 3 giant slices of toast, lightly dusted with powdered sugar.",1
"still, it makes up for all of this with a super ending that depicts a great sea vessel being taken out by the mighty frost.",1
"i'm so happy to be here!!!""",1
i'll definitely be in soon again.,1
i'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,0
the volume for the ringer is real good (you have choices how loud).,1
this place is awesome if you want something light and healthy during the summer.,1
eclectic selection.,1
works for me.,1
portable and it works.,1
cumbersome design.,0
the shrimp tender and moist.,1
"needless to say, i wasted my money.",0
i am very happy,1
the selection on the menu was great and so were the prices.,1
but now i was completely grossed out.,0
"not only did the software do a great job of this, i could also make my own ringtones form my existing cds without an internet connection.",1
"it took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0
if the two were seperated by a mere 5+ ft i started to notice excessive static and garbled sound from the headset.,0
the battery is unreliable as well as the service use antena.,0
really awful.,0
whatever prompted such a documentary is beyond me!,0
"you can't relate with them, hell you barely can understand them.",0
"lewis black's considerable talent is wasted here too, as he is at his most incendiary when he is unrestrained, which the pg-13 rating certainly won't allow.",0
i love the scream movies and all horror movies and this one ranks way up there.,1
poor reliability.,0
"the salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1
i certainly do not mean this distinction in a good way.,0
"i was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",1
"top line: don't waste your time and money on this one, its as bad as it comes.",0
the script is a big flawed mess.,0
"great it was new packaged nice works good, no problems and it came in less time then i expected!!!!",1
the heart attack grill in downtown vegas is an absolutely flat-lined excuse for a restaurant.,0
"the best place in vegas for breakfast (just check out a sat, or sun.",1
this wonderful experience made this place a must-stop whenever we are in town again.,1
it's one of the movies i need to see whenever it comes on tv...never mind the fact that i already have it memorized!,1
trumbull on i love lucy).,1
the food was terrible.,0
sweetest phone!!!,1
i even fully charged it before i went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,0
after a year the battery went completely dead on my headset.,0
"my experience was terrible..... this was my fourth bluetooth headset, and while it was much more comfortable than my last jabra (which i hated!!!",0
battery life still not long enough in motorola razor v3i.,0
"the dining space is tiny, but elegantly decorated and comfortable.",1
"if you're not familiar, check it out.",1
my first visit to hiro was a delight!,1
"feelings, thoughts...gabriel's discomfort during the dance...all these intangibles leap to life and come within the viewer's grasp in huston's portrayal.",1
it's a long time since i was so entertained by a movie.,1
their research and development division obviously knows what they're doing.,1
there were too many close ups.,0
just don't know why they were so slow.,0
incredible!.,1
"the handsfree part works fine, but then the car tries to download the address book, and the treo reboots.overall, i still rate this device high.",1
the fried rice was dry as well.,0
they have a really nice atmosphere.,1
plan on ordering from them again and again.,1
happy so far!.,1
loved the casting of jimmy buffet as the science teacher.,1
"also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1
i love the ringtones because they are so upbeat!,1
"it's fits like a glove and is strong, secure, and durable.",1
"a lassie movie which should have been ""put to sleep"".... forever.",0
"it's too bad that everyone else involved didn't share crowe's level of dedication to quality, for if they did, we'd have a far better film on our hands than this sub-par mess.",0
") what makes this story different are the terrific production values - faultless photography, composition and editing - the terrific casting - the underappreciated brian keith playing a bully teddy - and vivid history.",1
"(it wasn't busy either) also, the building was freezing cold.",0
i love the pho and the spring rolls oh so yummy you have to try.,1
i guess maybe we went on an off night but it was disgraceful.,0
great pizza and salads!,1
definitely worth checking out.,1
i have bought this nokia cell phone a few weeks ago and it was a nightmare.,0
doesn't last long.,0
i highly recommend this case.,1
delete this film from your mind!,0
"the wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.",0
this does not fit the palm tungsten e2 and it broke the first time i tried to plug it in.,0
i'm trying to return it for a refund.,0
"this movie was kind of long in length, but i enjoyed every minute of it.",1
i got this phone around the end of may and i'm completely unhappy with it.,0
"comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.",1
"the owner used to work at nobu, so this place is really similar for half the price.",1
"the menu is always changing, food quality is going down & service is extremely slow.",0
well im satisfied.,1
it has all the features i want,1
once you get inside you'll be impressed with the place.,1
"works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1
i've never been treated so bad.,0
phone falls out easily.,0
does everything it should and more.,1
"speaking of the music, it is unbearably predictably and kitchy.",0
i'm very disappointed with my decision.,0
don't waste your money and time.,0
i find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,0
i got this phone on reccomendation from a relative and i'm glad i did.,1
also makes it easier to hold on to.,1
this is actually a very smart movie.,1
worked great!.,1
they also now serve indian naan bread with hummus and some spicy pine nut sauce that was out of this world.,1
the igo chargers and tips are really great.,1
i will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area (;,1
everything about this movie is stupid.,0
"not a weekly haunt, but definitely a place to come back to every once in a while.",1
food was average at best.,0
"every time he opened his mouth you expect to hear, ""you see kids..."" pulling the plug was a mercy killing for this horrible show.",0
the food is good.,1
"for a product that costs as much as this one does, i expect it to work far better and with greater ease than this thing does.",0
there's really nothing bad i can say about this headset.,0
this movie is great--especially if you enjoy visual arts.,1
wow very spicy but delicious.,1
there are so many problems i dont know where to start.,0
i won't be back.,0
there was hardly any meat.,0
"i tried the cape cod ravoli, chicken,with cranberry...mmmm!",1
"we got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",0
bad reception.,0
after trying many many handsfree gadgets this is the one that finally works well.,1
i love the look and feel of samsung flipphones.,1
"i always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",1
"i like the fact that it rests lightly against your ear, rather than inside.",1
i did not bother contacting the company for few dollar product but i learned the lesson that i should not have bought this form online anyway.,0
the owners are super friendly and the staff is courteous.,1
the success of the film depends on the casting of sydney greenstreet as the alexander yardley character.,1
in short - this was a monumental waste of time and energy and i would not recommend anyone to ever see this film.,0
they brought a fresh batch of fries and i was thinking yay something warm but no!,0
i've had better bagels from the grocery store.,0
how awesome is that.,1
"the characters are interesting and you want to find out more about them the longer the movie goes on, and i think people will be surprised by who does and doesn't make it.",1
buttons are too small.,0
i kept catching the cable on the seat and i had to pull the phone out to turn it on an off.,0
we ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.,0
"it fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1
"if you hate earbugs, avoid this phone by all means.",0
weird vibe from owners.,0
this is a great deal.,1
virgin wireless rocks and so does this cheap little phone!,1
i was deeply impressed with the character he played.,1
if you haven't choked in your own vomit by the end (by all the cheap drama and worthless dialogue) you've must have bored yourself to death with this waste of time.,0
"im big fan of rpg games too, but this movie, its a disgrace to any self-respecting rpger there is.",0
this is a great place to eat!,1
"the acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.",1
hands down my favorite italian restaurant!,1
"if you love authentic mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",1
2 thumbs up!!,1
it was absolutely amazing.,1
it worked very well.,1
i will not be eating there again.,0
"it is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.",0
this movie is possibly one of the most creative works of horror ever.,1
a pretty good product.,1
this second appearance of mickey mouse (following the silent plane crazy earlier that year) is probably his most famous film--mostly because it was so ground-breaking.,1
the aerial scenes were well-done.,1
julian fellowes has triumphed again.,1
the camera on the phone may be used as a dustpan when indoors... i'd rather be using a disposable then this.,0
keep up the good work amazon!!,1
i hate those things as much as cheap quality black olives.,0
great value.,1
it just blew.,0
terrible.. my car will not accept this cassette.,0
the show would begin with smart ass ed comments to each other that would be totally off the wall and uncalled for.,0
this is truly an art movie--it actually has a lot of art in it.,1
"for service, i give them no stars.",0
comfortable in my hand.,1
this is probably the most irritating show i have ever seen in my entire life.,0
the black eyed peas and sweet potatoes... unreal!,1
overall i wasn't very impressed with noca.,0
the movie was very interesting from beginning to the end.,1
"the burger is good beef, cooked just right.",1
"i get absolutely horrible reception in my apartment, where with other phones i have not had this problem.",0
the pleather case doesn't fit.,0
nice solid keyboard.,1
it wasn't busy at all and now we know why.,0
"it feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.",0
there is no real plot.,0
terrible phone holder.,0
we received a white colored battery that goes dead after a couple hoursthe original used to last a week - but still lasts longer than thereplacement,0
for the price this was a great deal.,1
"lovely little thriller from hitchcock, with lots of nice shenanigans surrounding a murdered spy, a kidnapped child, a nasty church, a foreign plot and some random taxidermists.",1
think it over when you plan to own this one!this sure is the last moto phone for me!,0
used and dirty.,0
phone now holds charge like it did when it was new.,1
"characters are one-dimensional, even the good guys and especially the bad guys.",0
does not fit.,0
"good service, very clean, and inexpensive, to boot!",1
i wouldn't return.,0
unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,0
unreliable - i'm giving up.,0
"whatever the producer was going for, he missed entirely.",0
i love this place.,1
could not get strong enough signal.,0
but it wasn't until i watched this film that i realised how great he actually was.,1
it dit not work most of the time with my nokia 5320.,0
cool phone.,1
but i don't like it.,0
one of the most disappointing aspects is the lack of notable gore.,0
"it was a bit too sweet, not really spicy enough, and lacked flavor.",0
they had a toro tartare with a cavier that was extraordinary and i liked the thinly sliced wagyu with white truffle.,1
i does not maintain a connection with the computer while it is on my lap.,0
we are so glad we found this place.,1
"the ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.",0
"very good product, well made.",1
"initially the local sites in the film, which was filmed here in buffalo, intrigued me.",1
i just don't know how this place managed to served the blandest food i have ever eaten when they are preparing indian cuisine.,0
the phone crashed completely and now i have to get it replaced.,0
"yeah, the movie pretty much sucked.",0
i purcashed this for the car charger and it does not work.,0
"i'm terribly disappointed that this film would receive so many awards and accolades, especially when there are far more deserving works of film out there.",0
my wife had the lobster bisque soup which was lukewarm.,0
this pda rocks.,1
"this review is long overdue, since i consider a tale of two sisters to be the single greatest film ever made.",1
does not fit.,0
"there was no chemistry between ben affleck and sandra bullock in this film, and i couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by.",0
it is practically useless and did not add any kind of boost to my reception after i bought it.,0
worthwhile.,1
the death row scenes were entirely unmoving.,0
"good , works fine.",1
don't bother coming here.,0
"perhaps i caught them on an off night judging by the other reviews, but i'm not inspired to go back.",0
this may be the only bad film he ever made.,0
see both films if you can.,1
"he is almost unbearable to watch on screen, he has little to no charisma, and terrible comedic timing.",0
good case!.,1
poor voice clarity.,0
"considering the relations off screen between taylor and stanwyck, it was surprising how little chemistry there was on screen between the two of them.",0
there still are good actors around!,1
"my brother in law who works at the mall ate here same day, and guess what he was sick all night too.",0
best breakfast buffet!!!,1
it is rare when a film-maker takes the time to tell a worthy moral tale with care and love that doesn't fall into the trap of being overly syrupy or over indulgent.,1
and the beans and rice were mediocre at best.,0
i liked this movie way too much.,1
i miss it and wish they had one in philadelphia!,1
"though the wind and the lion is told largely through the eyes of the son, every member of the family can identify with one of the characters, whether it be sean connery's noble brigand, candace bergen's feisty heroine, john huston's wily john hay or steve kanaly's spiffy, radiant, ruthless can-do lieutenant, roosevelt's ""big stick"".",1
there is no plot or storyline!!,0
"after my phone got to be about a year old, it's been slowly breaking despite much care on my part.",0
conclusion: very filling meals.,1
i'm a bit disappointed.,0
but the duet between the astronaut and his doctor at the beginning of the movie is a perfect exchange if one considers that this movie was made well into the cold war and the astronaut's biggest fear is that he has crashed in the ussr.,1
by this time our side of the restaurant was almost empty so there was no excuse.,0
"i might have gotten a defect, but i would not risk buying it again because of the built quality alone.",0
very good stuff for the price.,1
"it is light, easy to use, and has very clear reception and transmission.",1
these are fabulous!,1
this place is hands-down one of the best places to eat in the phoenix metro area.,1
it is not good.,0
"i don't each much pasta, but i love the homemade /hand made pastas and thin pizzas here.",1
"that just screams ""legit"" in my book...somethat's also pretty rare here in vegas.",1
i wish i could return the unit and get back my money.,0
brilliance indeed.,1
"the food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",1
the classic maine lobster roll was fantastic.,1
gave up trying to eat any of the crust (teeth still sore).,0
it was so boring!,0
great for the jawbone.,1
"i also didn't like the ""on"" button, it felt like it would crack with use.",0
i advise you to look out for it.,1
restaurant is always full but never a wait.,1
i also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0
"despite how hard i rate businesses, its actually rare for me to give a 1 star.",0
not my thing.,0
"great place to eat, reminds me of the little mom and pop shops in the san francisco bay area.",1
"then our food came out, disappointment ensued.",0
those burgers were amazing.,1
always a great time at dos gringos!,1
overpriced for what you are getting.,0
service stinks here!,0
i would definitely recommend the wings as well as the pizza.,1
it didn't charge for me.,0
you share general loewenhielm's exquisite joy in his partaking of the cailles en sarcophage even though you are just watching a movie - but you do wish for just a small sample to savor.,1
gets the job done.,1
just does not work.,0
don't miss it.,1
his acting alongside olivia de havilland was brilliant and the ending was fantastic!,1
favorite place in town for shawarrrrrrma!!!!!!,1
"delicious nyc bagels, good selections of cream cheese, real lox with capers even.",1
very pleased with this headset.,1
plug was the wrong size.,0
"best buffet in town, for the price you cannot beat it.",1
but it does get better reception and clarity than any phone i've had before.,1
"if you have not seen this movie, i definitely recommend it!",1
great sound and service.,1
rating: 0/10 (grade: z) note: the show is so bad that even mother of the cast pull her daughter out of the show.,0
"be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",1
"oh this is such a thing of beauty, this restaurant.",1
i am also very happy with the price.,1
the reception through this headset is excellent.,1
sprint - terrible customer service.,0
and if that isn't enough of a mess of a movie for you - the picture is also marred with a constant use of studio sets and indoor exteriors.,0
"i got to enjoy the seafood salad, with a fabulous vinegrette.",1
it'll be a regular stop on my trips to phoenix!,1
"no additional ear gels provided, and no instructions whatsoever.",0
this blueant supertooth hands-free phone speaker is awesome.,1
i love this thing!,1
linksys should have some way to exchange a bad phone for a refurb unit or something!,0
"if the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0
"attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.",0
"it is cheap, and it feel and look just as cheap.",0
"crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.",0
battery is terrible.,0
some may say this buffet is pricey but i think you get what you pay for and this place you are getting quite a lot!,1
"great subway, in fact it's so good when you come here every other subway will not meet your expectations.",1
i rather enjoyed it.,1
"my phone sounded ok ( not great - ok), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.",0
i ended up sliding it on the edge of my pants or back pockets instead.,1
made very sturdy.,1
and the chef was generous with his time (even came around twice so we can take pictures with him).,1
total brunch fail.,0
i recently tried caballero's and i have been back every week since!,1
worst martini ever!,0
duris has a wholesome appearance and gives a fine performance.,1
"to my disbelief, each dish qualified as the worst version of these foods i have ever tasted.",0
"the fat computer geek was unbelievable, the bible thumper, the bad-ass girl, who are these actors???",0
the voice recognition thru the handset is excellent.,1
all the characters in this film are tremendously well played.,1
what a waste.,0
"a very, very, very slow-moving, aimless movie about a distressed, drifting young man.",0
please dont waste your money.,0
so i had to take the battery out of the phone put it all back together and then restart it.,0
"her lines seem to have been written by a fifteen year old, though they are trying oh so, so hard to sound like how a fifteen year old would really, um, you know, well... talk.",0
"perhaps my phone is defective, but people cannot hear me when i use this.",0
"then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.",0
my phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,1
"the chains, which i'm no fan of, beat this place easily.",0
i've lived here since 1979 and this was the first (and last) time i've stepped foot into this place.,0
con: spotty service.,0
"they have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0
avoid at all costs!,0
chinese forgeries abound!.,0
i would not recommend this item to anyone.,0
"come hungry, leave happy and stuffed!",1
i wear glasses and it fits fine with them.,1
"the deal included 5 tastings and 2 drinks, and jeff went above and beyond what we expected.",1
the battery runs down quickly.,0
their regular toasted bread was equally satisfying with the occasional pats of butter... mmmm...!,1
he was very impressed when going from the original battery to the extended battery.,1
what i really like there is the crepe station.,1
but this understated film leaves a lasting impression.,1
"it was extremely ""crumby"" and pretty tasteless.",0
poorly contstruct hinge.,0
the food is very good for your typical bar food.,1
first time going but i think i will quickly become a regular.,1
comfort for our whole family.,1
we enjoy their pizza and brunch.,1
you won't forget this movie!,1
it was horrible!.,0
definitely will come back here again.,1
"the service was terrible, food was mediocre.",0
everything worked on the first try.the device was certainly engineered in a clever way and the construction feels good.,1
"this movie suffered because of the writing, it needed more suspense.",0
the cast is always entertaining as usual.,1
motorola finally got the voice quality of a bluetooth headset right.,1
they also have the best cheese crisp in town.,1
worst customer service.,0
"they could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",1
great hands free device.,1
battery life is also great!,1
"great headset, very impressed - h500.",1
we also ordered the spinach and avocado salad; the ingredients were sad and the dressing literally had zero taste.,0
i can't use this case because the smell is disgusting.,0
very easy to use.,1
i gave it 5 stars because of the sound quality.,1
i won't try going back there even if it's empty.,0
lately they have been extremely nice and helpful on the phone.,1
"another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",0
the transfers are very good.,1
"it is a film about nothing, just a pretext to show ridiculous action scenes.",0
"overall, the film is interesting and thought-provoking.",1
i was seated immediately.,1
"i can hear while i'm driving in the car, and usually don't even have to put it on it's loudest setting.",1
"* comes with a strong light that you can use to light up your camera shots, and even flash sos signals (seriously!",1
"when a song could explain the emotions of the subjects better, such as when jay adams' unfortunate life was a subject of talk, the song old man by neil young was played, which evokes many emotions.",1
"god, and i can never get that 90 minutes back!",0
the plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted.,0
food was great and so was the serivce!,1
soyo technology sucks.,0
tasted like dirt.,0
"it's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces.",1
fantastic service here.,1
all of the main players are mesmerising.,1
poor quality.,0
later i found myself lost in the power of the film.,1
and i just love the colors!,1
great bluetooth!.,1
the ri style calamari was a joke.,0
"beware: this is not a trashy cult movie, this is trash -period!",0
i won't be back.,0
great for using with your home stereo.,1
"your servers suck, wait, correction, our server heimer sucked.",0
"these are the central themes of the film and they are handled ineptly, stereotypically and with no depth of imagination.",0
then i had to continue pairing it periodically since it somehow kept dropping.,0
"however, after finally watching this film, i realized that not only had i had a closed mind to the brilliance it depicts, i also found myself watching it over and over again.",1
i checked everywhere and there is no feature for it which is really disappointing.,0
the vegetables are so fresh and the sauce feels like authentic thai.,1
i believe the screenwriter did a good job of tying up the loose ends.,1
service is quick and friendly.,1
this place has it!,1
"however, the keypads are so tinny that i sometimes reach the wrong buttons.",0
great pocket pc / phone combination.,1
"you get extra minutes so that you can carry out the call and not get cut off.""",1
"however, after seeing the short again after about 25 years, i was amazed at how timeless the film actually is.",1
i can assure you that you won't be disappointed.,1
"in summary, this was a largely disappointing dining experience.",0
the kids play area is nasty!,0
it's just lame.,0
exceptionally bad!,0
the film lacks any real scares or tension & some of the medical terminology used throughout is a bit iffy to say the least & i say that as an insulin dependant diabetic myself.,0
they have great dinners.,1
poor sound quality.,0
i liked it.,1
"first of all, it doesn't wear well.",0
the manager was the worst.,0
"excellent sound, battery life and inconspicuous to boot!.",1
"i have used several phone in two years, but this one is the best.",1
it's too bad the food is so damn generic.,0
this scene is very strong and unpleasant.,0
"i would definitely recommend the jabra bt250v for those who are looking for comfort, clarity and a great price!",1
"the tracfonewebsite is user friendly and makes it easy toactivate, etc.",1
i have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.,0
"maybe it's just their vegetarian fare, but i've been twice and i thought it was average at best.",0
i have tried these cables with my computer and my ipod and it works just fine.,1
i'll even say it again  this is torture.,0
the jalapeno bacon is soooo good.,1
she was quite disappointed although some blame needs to be placed at her door.,0
"overall, i was very disappointed with the quality of food at bouchon.",0
the sound quality is excellent as well.,1
for that price i can think of a few place i would have much rather gone.,0
piece of junk.,0
all this movie does is make you sick watching all these slackers make excuses for their stupid actions for 90 minutes.,0
i wouldnt see this movie again for free.,0
we made the drive all the way from north scottsdale... and i was not one bit disappointed!,1
"an interesting premise, and billy drago is always good as a dangerous nut-bag (side note: i'd love to see drago, stephen mchattie and lance hendrikson in a flick together; talk about raging cheekbones!).",1
"all in all, i'd expected a better consumer experience from motorola.",0
i like steiners because it's dark and it feels like a bar.,1
and generally the lines and plot is weaker than the average episode.,0
the delivery was on time.,1
"lordy, the khao soi is a dish that is not to be missed for curry lovers!",1
i loved it!,1
the guy who said he's had better dialogue with his potted plants has it right.,0
"bought mainly for the charger, which broke soon after purchasing.",0
"light weight, i hardly notice it is there.",1
"if you are looking for a good quality motorola headset keep looking, this isn't it.",0
"this was a poor remake of ""my best friends wedding"".",0
you need at least 3 mins to get to your phone book from the time you first turn on the phone.battery life is short.,0
it's uncomfortable and the sound quality is quite poor compared with the phone (razr) or with my previous wired headset (that plugged into an lg).,0
i have to say that this film was excellently produced and tops the ratings as a typical sci fi film!,1
"(my mother and brother had to do this)when i saw robert ryan portraying this type of man, it was a very good imitation of this type of individual, and i was impressed.",1
still it's quite interesting and entertaining to follow.,1
phone is sturdy as all nokia bar phones are.,1
i bought it for my mother and she had a problem with the battery.,0
it also had a new problem.,0
i'll be looking for a new earpiece.,0
excellent service!!!!!!!!.,1
timely shipment and quality product.,1
i found the product to be easy to set up and use.,1
"i go to far too many places and i've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0
punishment park is a brilliant piece of cinema.,1
we are sending it back.,0
"small, sleek, impressive looking, practical setup with ample storage in place.",1
i had a pretty satifying experience.,1
the plot was the same as pretty much every other cheap horror.,0
!....the owners really really need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,0
"yes, it's that bad.",0
the phone is sturdy and waterproof.,1
poor product.,0
the original body and soul (1947) is a masterpiece.,1
my boyfriend and i came here for the first time on a recent trip to vegas and could not have been more pleased with the quality of food and service.,1
today is the second time i've been to their lunch buffet and it was pretty good.,1
"totally different, with loads of understatement and black comedy, this is a film few get to see, but those who do will remember it.",1
really good product.,1
has been working great.,1
"i think the most wonderful parts (literally, full of ""wonder"") are the excerpts from his works.",1
i love this cable - it allows me to connect any mini-usb device to my pc.,1
this is one of the best movies out there that shows such strong sibling bond for each other.,1
thank you for wasting my money.,0
this battery is an excellent bargain!,1
definitely not worth the $3 i paid.,0
works like a charm; it work the same as the one i got with the phone.,1
how awful she is!,0
an hour... seriously?,0
"however, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and i couldn't receive and place calls.",0
i great reception all the time.,1
"insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.",0
basically the service was very bad.,0
"cute, quaint, simple, honest.",1
nicest chinese restaurant i've been in a while.,1
it looked like a wonderful story.,1
their monster chicken fried steak and eggs is my all time favorite.,1
i have had mine for about a year and this christmas i bought some for the rest of the family.,1
if only someone involved with it knew how to string together narrative!,0
and service was super friendly.,1
i am not impressed with this and i would not recommend this item to anyone.,0
it looks very nice.,1
not what i wanted.,0
each day of the week they have a different deal and it's all so delicious!,1
"this movie creates its own universe, and is fascinating in every way.",1
their daily specials are always a hit with my group.,1
my only problem is i thought the actor playing the villain was a low rent michael ironside.,0
i'm returning them.,0
"the bose noise cancelling is amazing, which is very important for a nyc commuter.",1
"both actors truly understand and become their particular character, delivering a convincing, sincere performance.",1
the place was not clean and the food oh so stale!,0
"i put the latest os on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0
my sister has one also and she loves it.,1
an excellent performance from ms.,1
not worth it.,0
"there was a few pathetic attempts to give the characters some depth, but it didn't really work into the rest of the plot.",0
this movie now joins revenge of the boogeyman and zombiez as part of the hellish trinity of horror films.,0
we will not be coming back.,0
their network coverage in los angeles is horrible.,0
worst food/service i've had in a while.,0
i wasted my little money with this earpiece.,0
the budget was evidently very limited.,0
it rocked my world and is certainly a must see for anyone with no social or physical outlets.,1
camera color balance is awful.,0
much better than the other ayce sushi place i went to in vegas.,1
headset works great & was packaged nicely to avoid any damage.,1
the worst was the salmon sashimi.,0
"verizon's bills, however, are difficult to understand even though their pricing plans are simple.",0
very disappointing.,0
food is way overpriced and portions are fucking small.,0
"not much flavor to them, and very poorly constructed.",0
appetite instantly gone.,0
what a waste of time!,0
"what should have been a hilarious, yummy christmas eve dinner to remember was the biggest fail of the entire trip for us.",0
they were excellent.,1
this phone tries very hard to do everything but fails at it's very ability to be a phone.,0
great phone!.,1
great product.,1
it does everything the description said it would.,1
not recommended.,0
"i had strawberry tea, which was good.",1
will not be back.,0
"the first time i ever came here i had an amazing experience, i still tell people how awesome the duck was.",1
"i am so pleased to know such a modern day genius is out there , letting is passion for art drive him and taking us as an audience with him.",1
i seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,0
it's just painful!,0
bland... not a liking this place for a number of reasons and i don't want to waste time on bad reviewing.. i'll leave it at that...,0
":) anyway, the plot flowed smoothly and the male-bonding scenes were a hoot.",1
someone shouldve invented this sooner.,1
a good quality bargain.. i bought this after i bought a cheapy from big lots that sounded awful and people on the other end couldn't hear me.,1
"this is a simple little phone to use, but the breakage is unacceptible.",0
"the food sucked, which we expected but it sucked more than we could have imagined.",0
final word: this show is a real torture!!,0
"it was that year, however, that reminded us that huston was still at the top of his game as evinced by his faithful adaptation of james joyce's acclaimed novella ""the dead.",1
"this item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1
i probably would not go here again.,0
"i have to use the smallest earpieces provided, but it stays on pretty well.",1
go watch it!,1
we won't be going back.,0
i had the opportunity today to sample your amazing pizzas!,1
this little device has transformed my organizational capability and made my life a whole lot easier.,1
this film has no redeeming features.,0
lousy product.,0
"the ""explosion"" of the gas tanks at the end was just as awful.",0
great food.,1
worst thai ever.,0
awesome selection of beer.,1
if you want a real scare rent this one!,1
so just beware.,0
i have yet to run this new battery below two bars and that's three days without charging.,1
her role was played well.,1
i highly recommend this modest priced cellular phone.,1
service was exceptional and food was a good as all the reviews.,1
this device is great in several situations:1.),1
"the wontons were thin, not thick and chewy, almost melt in your mouth.",1
a lot of websites have been rating this a very good phone and so do i.,1
it's not what it says it is.,0
lightweight and works well.,1
"the rest of the movie lacks art, charm, meaning... if it's about emptiness, it works i guess because it's empty.",0
* both the hot & sour & the egg flower soups were absolutely 5 stars!,1
the yellowtail carpaccio was melt in your mouth fresh.,1
"putting the race card aside, lets look at the major flaw in the film: they destroy latifa's character.",0
"he also came back to check on us regularly, excellent service.",1
service sucks.,0
this phone works great.,1
the phone can also take great pictures and even video clips.,1
"this place is like chipotle, but better.",1
"while you don't yet hear mickey speak, there are tons of sound effects and music throughout the film--something we take for granted now but which was a huge crowd pleaser in 1928.",1
the nokia ca-42 usb cable did not work with my phone.,0
magical help.,1
